day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2017-08-03,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964,545.65964
2017-08-04,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778,548.367778
2017-08-05,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217,549.930217
2017-08-06,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408,562.915408
2017-08-07,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383,562.767383
2017-08-08,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623,553.820623
2017-08-09,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455,559.54455
2017-08-10,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094,566.700094
2017-08-11,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935,568.734935
2017-08-12,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583,561.216583
2017-08-13,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077,546.742077
2017-08-14,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633,550.476633
2017-08-15,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859,546.334859
2017-08-16,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244,539.492244
2017-08-17,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955,540.791955
