Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Spend
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-03-07,0.0,1589.7456
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-03-07,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-03-07,0.0,1239.455
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-03-14,0.0,6370.31
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-03-14,0.0,1949.1341999999997
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-03-14,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-03-14,0.0,1592.5775
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-03-21,0.0,8770.519999999999
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-03-21,0.0,2531.1106
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-03-21,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-03-21,0.0,2192.6299999999997
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-03-21,0.0,318.15
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-03-28,0.0,11134.48
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-03-28,0.0,3118.9417999999996
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-03-28,0.0,57.248
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-03-28,0.0,2783.62
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-03-28,0.0,845.4099999999999
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-04-04,0.0,7762.6799999999985
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-04-04,0.0,2370.2226
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-04-04,0.0,58.309999999999995
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-04-04,0.0,1940.6699999999996
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-04-04,0.0,749.98
