Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-21,1213291,21114,5363.9030987999995,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-21,946711,1182,2837.2884358,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-21,394520,9358,1145.7269532,
ClientBrand,Paid Social,Meta,Unclassified,Engagement,Platform and Fees,EXCLUDING,CTC,2020-12-28,107341,48,647.4663818,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-28,3858759,51847,16406.3480544,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-28,200190,177,335.504187,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-28,1079680,655,4501.99159444142,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2021-01-04,261313,2259,1290.5685438,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-04,1142745,1449,3333.1540138,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-04,100711,62,746.3452356,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-04,124540,50,397.085453442,
ClientBrand,Paid Social,Meta,Unclassified,Engagement,Platform and Fees,EXCLUDING,CTC,2021-01-11,387724,47,1490.4369726,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-01-11,1277836,44738,5019.3854114,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-01-11,337481,5125,514.7133544000001,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-11,755514,475,1788.05658648374,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-01-18,1519192,28212,8410.7475404,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-18,618484,654,1039.622891,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-01-18,321895,5605,525.2515761999999,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-18,5686,3,12.60882858838,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-25,0,0,0.0,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-01-25,310599,5808,524.5597362,
ClientBrand,Paid Social,Twitter,Unclassified,Pre-roll views,Platform and Fees,EXCLUDING,CTC,2021-01-25,17475,1,152.59363087246,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-01-25,872104,744,2543.46108,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2021-02-01,95775,1602,642.6303666,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-01,301434,5826,478.18054859999995,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-02-01,10169,4,74.64405880000001,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-08,4580933,78347,19384.1126158,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-08,316637,6033,525.4631562,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-02-08,508642,282,1453.0022727448197,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2021-02-15,3229316,68357,14977.424892400002,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2021-02-15,612209,650,1039.051741,
