Brand,Media L1,Media L2,Message,Device,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-04-03,3297,67,3.6100000000000003,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-04-03,2127,462,19.67,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-04-03,262,85,4.27,Tablets_Other GDN
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-04-10,407,11,0.47,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-04-10,325,133,3.89,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-04-10,63,16,0.58,Tablets_Other GDN
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-04-17,100612,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-04-17,347265,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-04-17,418,9,0.37,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-04-17,237,104,3.14,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-04-17,33,9,0.26,Tablets_Other GDN
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-04-24,100612,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-04-24,347265,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-04-24,4965,51,4.95,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-04-24,9781,464,43.02,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-04-24,1363,115,11.79,Tablets_Other GDN
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-05-01,5206,46,3.91,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-05-01,6140,335,30.23,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-05-01,815,77,7.92,Tablets_Other GDN
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-05-08,39987,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-05-08,118142,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-05-08,64642,399,135.08,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-05-08,93483,2749,769.06,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-05-08,10167,648,167.54999999999998,Tablets_Other GDN
ClientBrand,Digital Display,HPTO,Unclassified,Unknown,EXCLUDING,CTC,2017-05-15,124074,Missing Data,Free Of Charge,HPTO Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-05-15,242762,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-05-15,167416,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,,Unclassified,Computer,EXCLUDING,CTC,2017-05-15,22452,174,65.69,Computers_Other GDN
ClientBrand,Digital Display,,Unclassified,Mobile,EXCLUDING,CTC,2017-05-15,40236,1248,395.95,Mobile phones_Other GDN
ClientBrand,Digital Display,,Unclassified,Tablet,EXCLUDING,CTC,2017-05-15,3462,236,77.69,Tablets_Other GDN
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-05-22,39987,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-05-22,118142,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-05-29,166373,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-05-29,528777,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-06-05,33274,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-06-05,105755,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-06-12,56419,Missing Data,Free Of Charge,CRM Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-06-12,59986,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-06-12,137982,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-06-19,59985,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-06-19,137981,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-06-26,533514,Missing Data,Free Of Charge,CRM Digital Free of charge
